date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:44	9386/9386	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202016%2011:33:08%20GMT	http://derpal.com.pl/site_media/images/site/rzetelna_firma_ikona.png	derpal.com.pl/site_media/images/site/rzetelna_firma_ikona.png	(from http://derpal.com.pl/)
21:18:44	13747/13747	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202013%2013:18:05%20GMT	http://derpal.com.pl/site_media/storage/images/2013-02/mapa.png	derpal.com.pl/site_media/storage/images/2013-02/mapa.png	(from http://derpal.com.pl/)
21:18:46	2237/2237	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:44%20GMT	http://derpal.com.pl/pl/drzwi-wewnetrzne/1,-3,7,3	derpal.com.pl/pl/drzwi-wewnetrzne/1,-3,7,3	(from http://derpal.com.pl/)
21:18:48	2237/2237	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:46%20GMT	http://derpal.com.pl/pl/drzwi-zewnetrzne-drewniane/1,-1,7,3	derpal.com.pl/pl/drzwi-zewnetrzne-drewniane/1,-1,7,3	(from http://derpal.com.pl/)
21:18:51	2237/2237	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:48%20GMT	http://derpal.com.pl/pl/drzwi-zewnetrzne-plytowe/1,-2,7,3	derpal.com.pl/pl/drzwi-zewnetrzne-plytowe/1,-2,7,3	(from http://derpal.com.pl/)
21:18:53	0/0	---MC-	302	error ('FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:51%20GMT	http://derpal.com.pl/derpal.com.pl/pl/polityka-prywatnosci-serwisu-derpalcompl/0,-5a,1	derpal.com.pl/derpal.com.pl/pl/polityka-prywatnosci-serwisu-derpalcompl/0,-5a,1	(from http://derpal.com.pl/)
21:18:55	253/253	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/pl.png	derpal.com.pl/site_media/images/site/pl.png	(from http://derpal.com.pl/site_media/css/basic.css)
21:18:57	289/289	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/ru.png	derpal.com.pl/site_media/images/site/ru.png	(from http://derpal.com.pl/site_media/css/basic.css)
21:18:59	637/637	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/en.png	derpal.com.pl/site_media/images/site/en.png	(from http://derpal.com.pl/site_media/css/basic.css)
21:18:59	323/323	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/de.png	derpal.com.pl/site_media/images/site/de.png	(from http://derpal.com.pl/site_media/css/basic.css)
21:19:01	418/418	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/es.png	derpal.com.pl/site_media/images/site/es.png	(from http://derpal.com.pl/site_media/css/basic.css)
21:19:01	409/409	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/body_bg.jpg	derpal.com.pl/site_media/images/site/body_bg.jpg	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:03	367/367	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/footer_bg.jpg	derpal.com.pl/site_media/images/site/footer_bg.jpg	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:03	575/575	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Feb%202013%2009:41:40%20GMT	http://derpal.com.pl/site_media/images/site/footer-bg.jpg	derpal.com.pl/site_media/images/site/footer-bg.jpg	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:05	170/170	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_menu-pionowe.png	derpal.com.pl/site_media/images/site/arrows_menu-pionowe.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:05	777/777	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/kulki.png	derpal.com.pl/site_media/images/site/kulki.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:07	2780/2780	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/button-w-banerze.png	derpal.com.pl/site_media/images/site/button-w-banerze.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:07	293/293	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/zegarek_ikona.png	derpal.com.pl/site_media/images/site/zegarek_ikona.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:09	160/160	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_zobacz-wiecej.png	derpal.com.pl/site_media/images/site/arrows_zobacz-wiecej.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:09	446/446	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/cien_pobierz-katalogi.png	derpal.com.pl/site_media/images/site/cien_pobierz-katalogi.png	(from http://derpal.com.pl/site_media/css/screen.css)
